SY,ORG_CODE,School Code,District,School Name,# STUDENTS_ENROLLED,AA,AS,HI,MR,NA,NH_PI,WH,EcoDis,SWD,ELL,FEMALE,MALE,Tests Taken,Score=1,Score=2,Score=3,Score=4,Score=5
2016,9,90505,Andover,Andover High,39,1,11,1,2,0,0,24,0,0,0,9,30,38,0,1,6,9,22
2016,10,100505,Arlington,Arlington High,14,0,2,1,0,0,0,11,1,0,0,1,13,14,3,2,1,4,4
2016,16,160505,Attleboro,Attleboro High,13,1,1,1,0,0,0,10,2,1,0,0,13,15,9,2,2,1,1
2016,17,170505,Auburn,Auburn Senior High,17,0,1,2,0,0,0,14,2,0,0,1,16,16,8,2,6,0,0
2016,20,200505,Barnstable,Barnstable High,23,0,7,0,0,0,0,16,2,0,0,2,21,26,18,4,4,0,0
2016,23,230505,Bedford,Bedford High,5,,,,,,,,,,,,,5,,,,,
2016,31,310505,Billerica,Billerica Memorial High School,12,0,3,0,0,0,0,9,1,0,0,0,12,12,0,1,1,3,7
2016,40,400505,Braintree,Braintree High,11,0,8,0,0,0,0,3,3,0,1,5,6,9,,,,,
2016,48,480505,Burlington,Burlington High,11,0,3,3,0,0,0,5,2,0,1,0,11,13,0,1,4,4,4
2016,49,490506,Cambridge,Cambridge Rindge and Latin,103,15,19,6,4,0,0,59,15,1,1,37,66,37,4,2,11,13,7
2016,56,560505,Chelmsford,Chelmsford High,43,0,9,1,1,0,0,32,0,1,0,10,33,13,4,4,3,0,2
2016,61,610510,Chicopee,Chicopee Comprehensive High School,5,,,,,,,,,,,,,5,,,,,
2016,72,720505,Dartmouth,Dartmouth High,12,0,0,0,2,0,0,10,1,0,0,1,11,12,2,3,3,2,2
2016,73,730505,Dedham,Dedham High,10,1,1,0,0,0,0,8,0,0,0,1,9,9,,,,,
2016,82,820505,Duxbury,Duxbury High,13,0,0,0,1,0,0,12,0,0,0,0,13,12,5,1,1,3,2
2016,87,870505,East Longmeadow,East Longmeadow High,21,0,2,1,0,0,0,18,2,0,0,2,19,13,2,2,3,6,0
2016,95,950505,Fall River,B M C Durfee High,24,3,2,1,1,0,0,17,10,0,2,8,16,14,5,2,2,3,2
2016,100,1000515,Framingham,Framingham High School,19,0,4,0,0,0,0,15,0,0,0,1,18,13,0,1,0,2,10
2016,101,1010505,Franklin,Franklin High,24,0,8,1,1,0,0,14,0,0,0,10,14,22,7,3,6,3,3
2016,107,1070505,Gloucester,Gloucester High,24,1,1,1,0,0,0,21,4,0,0,2,22,16,10,3,2,1,0
2016,110,1100505,Grafton,Grafton High School,21,0,2,1,1,0,0,17,0,0,0,2,19,17,1,2,10,2,2
2016,128,1280505,Haverhill,Haverhill High,16,0,0,1,0,0,0,15,3,1,0,2,14,11,5,2,3,1,0
2016,139,1390505,Hopkinton,Hopkinton High,17,0,7,0,0,0,0,10,0,0,0,4,13,12,4,2,4,1,1
2016,144,1440505,Ipswich,Ipswich High,5,,,,,,,,,,,,,5,,,,,
2016,150,1500505,Lee,Lee Middle/High School,4,,,,,,,,,,,,,4,,,,,
2016,155,1550505,Lexington,Lexington High,71,0,37,2,2,0,0,30,2,1,1,10,61,62,0,3,7,12,40
2016,159,1590505,Longmeadow,Longmeadow High,23,0,4,1,1,0,0,17,2,2,0,5,18,15,0,0,2,5,8
2016,171,1710505,Marshfield,Marshfield High,17,0,0,0,1,0,0,16,0,1,0,1,16,16,10,4,1,0,1
2016,189,1890505,Milton,Milton High,31,9,3,1,0,0,1,17,0,0,0,6,25,14,7,2,3,1,1
2016,198,1980505,Natick,Natick High,26,1,9,1,0,0,0,15,1,0,0,9,17,28,2,3,5,9,9
2016,199,1990505,Needham,Needham High,47,0,4,2,1,0,0,40,1,0,0,10,37,36,1,2,6,9,18
2016,201,2010505,New Bedford,New Bedford High,14,1,2,2,0,0,0,9,5,0,0,7,7,13,7,2,2,1,1
2016,214,2140505,Northbridge,Northbridge High,4,,,,,,,,,,,,,4,,,,,
2016,217,2170505,North Reading,North Reading High,6,0,1,0,0,0,0,5,0,0,0,0,6,6,,,,,
2016,229,2290510,Peabody,Peabody Veterans Memorial High,9,0,0,0,0,0,0,9,0,1,0,0,9,10,3,2,4,1,0
2016,236,2360505,Pittsfield,Pittsfield High,10,1,0,0,1,0,0,8,4,1,0,2,8,4,,,,,
2016,236,2360510,Pittsfield,Taconic High,10,0,0,0,1,0,0,9,0,0,0,2,8,10,8,0,2,0,0
2016,243,2430505,Quincy,Quincy High,21,0,12,0,0,0,0,9,3,0,0,11,10,21,1,3,9,6,2
2016,243,2430510,Quincy,North Quincy High,18,0,16,0,0,0,0,2,5,0,0,5,13,17,0,2,6,2,7
2016,246,2460505,Reading,Reading Memorial High,25,0,2,0,0,0,0,23,1,0,0,5,20,25,2,7,10,4,2
2016,248,2480505,Revere,Revere High,15,0,1,8,1,0,0,5,0,0,0,3,12,15,7,3,2,2,1
2016,262,2620505,Saugus,Saugus High,19,0,1,3,0,0,0,15,3,0,0,7,12,18,6,4,6,2,0
2016,264,2640505,Scituate,Scituate High School,27,0,0,0,0,0,0,27,0,1,0,6,21,10,0,2,5,2,1
2016,266,2660505,Sharon,Sharon High,24,0,12,0,0,0,0,12,1,0,0,3,21,16,1,0,3,4,8
2016,274,2740505,Somerville,Somerville High,38,1,13,5,1,0,0,18,10,0,0,8,30,35,8,12,6,4,5
2016,278,2780505,South Hadley,South Hadley High,7,0,0,0,1,0,0,6,0,0,0,2,5,5,,,,,
2016,281,2810500,Springfield,Springfield Central High,30,7,7,8,0,0,0,8,11,0,1,11,19,28,20,2,5,1,0
2016,281,2810620,Springfield,Roger L. Putnam Vocational Technical Academy,7,1,0,3,0,0,0,3,3,0,0,1,6,7,,,,,
2016,285,2850505,Stoughton,Stoughton High,17,3,4,1,0,0,1,8,3,0,0,2,15,15,6,4,1,4,0
2016,292,2920505,Swansea,Joseph Case High,9,0,0,0,0,0,0,9,1,0,0,1,8,9,,,,,
2016,305,3050505,Wakefield,Wakefield Memorial High,16,0,1,0,0,0,0,15,1,0,0,7,9,4,,,,,
2016,314,3140505,Watertown,Watertown High,10,0,0,0,1,0,0,9,2,1,0,0,10,7,,,,,
2016,317,3170505,Wellesley,Wellesley Sr High,50,0,10,5,4,0,0,31,1,1,0,12,38,42,1,3,16,17,5
2016,325,3250505,Westfield,Westfield High,6,0,0,0,0,0,0,6,1,0,0,0,6,3,,,,,
2016,326,3260505,Westford,Westford Academy,15,0,7,0,0,0,0,8,1,0,0,2,13,16,0,0,2,3,11
2016,330,3300505,Weston,Weston High,25,1,7,0,1,0,0,16,2,0,1,10,15,23,0,2,11,5,5
2016,335,3350505,Westwood,Westwood High,24,0,1,1,0,0,0,22,2,1,0,4,20,21,0,0,4,3,14
2016,336,3360505,Weymouth,Weymouth High School,19,1,3,1,1,0,0,13,3,0,0,2,17,14,3,2,6,2,1
2016,344,3440505,Winchester,Winchester High School,52,2,21,1,1,0,0,27,1,1,0,15,37,28,3,4,6,2,13
2016,430,4300305,Advanced Math and Science Academy Charter (District),Advanced Math and Science Academy Charter School,55,0,24,2,2,0,0,27,2,1,0,27,28,54,3,5,12,15,19
2016,487,4870550,Prospect Hill Academy Charter (District),Prospect Hill Academy Charter School,24,8,5,6,1,0,0,4,7,2,0,6,18,18,11,2,4,1,0
2016,494,4940205,Pioneer Charter School of Science (District),Pioneer Charter School of Science,12,5,0,2,0,0,0,5,5,0,0,5,7,12,2,1,5,2,2
2016,625,6250505,Bridgewater-Raynham,Bridgewater-Raynham Regional,12,1,0,1,0,0,0,10,1,0,0,0,12,12,2,1,7,2,0
2016,645,6450505,Dennis-Yarmouth,Dennis-Yarmouth Regional High,20,0,2,1,0,0,0,17,5,0,0,1,19,13,5,6,2,0,0
2016,658,6580505,Dudley-Charlton Reg,Shepherd Hill Regional High,13,0,0,0,0,0,0,13,3,0,0,2,11,12,6,1,1,3,1
2016,675,6750505,Hamilton-Wenham,Hamilton-Wenham Regional High,16,1,2,0,0,0,0,13,0,1,0,4,12,11,3,1,3,2,2
2016,680,6800505,Hampden-Wilbraham,Minnechaug Regional High,9,0,1,0,0,0,0,8,1,0,0,1,8,4,,,,,
2016,705,7050505,Masconomet,Masconomet Regional High School,33,0,1,2,0,0,0,30,0,0,0,1,32,25,2,10,6,5,2
2016,710,7100510,Mendon-Upton,Nipmuc Regional High,16,0,0,0,0,0,0,16,1,0,0,2,14,16,1,0,2,5,8
2016,730,7300505,Northboro-Southboro,Algonquin Regional High,15,0,5,0,0,0,0,10,1,0,0,2,13,15,2,1,4,2,6
2016,760,7600505,Silver Lake,Silver Lake Regional High,15,0,0,0,0,0,0,15,1,0,0,1,14,11,4,2,3,1,1
2016,773,7730505,Triton,Triton Regional High School,13,0,0,0,0,0,0,13,1,0,0,0,13,11,2,3,4,2,0
2016,805,8050605,Blackstone Valley Regional Vocational Technical,Blackstone Valley,6,0,0,0,0,0,0,6,1,0,0,1,5,5,,,,,
2016,818,8180605,Franklin County Regional Vocational Technical,Franklin County Technical,11,0,0,0,0,0,0,11,0,0,0,1,10,11,10,0,0,1,0
2016,852,8520605,Nashoba Valley Regional Vocational Technical,Nashoba Valley Technical High School,9,0,0,0,0,0,0,9,3,0,0,0,9,7,,,,,
2016,0,0,Massachusetts,Massachusetts,1527,65,309,80,34,0,2,1014,150,19,8,321,1183,1815,326,193,353,293,377
