School Code,District,School Name,# STUDENTS ENROLLED ,# STUDENTS ENROLLED PRIOR TO SECONDARY LEVEL,# STUDENTS ENROLLED AT SECONDARY LEVEL
10015,Abington,Woodsdale Elementary School,2,2,0
10020,Abington,Beaver Brook Elementary,3,3,0
10405,Abington,Abington Middle School,348,348,0
10505,Abington,Abington High,25,0,25
30025,Acushnet,Acushnet Elementary School,105,105,0
30305,Acushnet,Albert F Ford Middle School,407,407,0
50010,Agawam,Clifford M Granger,1,1,0
50020,Agawam,Benjamin J Phelps,3,3,0
50025,Agawam,Robinson Park,2,2,0
50030,Agawam,James Clark School,2,2,0
50303,Agawam,Roberta G. Doering School,555,555,0
50405,Agawam,Agawam Junior High,230,230,0
50505,Agawam,Agawam High,73,0,73
70005,Amesbury,Amesbury Elementary,289,289,0
70010,Amesbury,Charles C Cashman Elementary,339,339,0
70013,Amesbury,Amesbury Middle,381,381,0
70505,Amesbury,Amesbury High,125,0,125
70515,Amesbury,Amesbury Innovation High School,1,0,1
80009,Amherst,Crocker Farm Elementary,352,352,0
80020,Amherst,Fort River Elementary,332,332,0
80050,Amherst,Wildwood Elementary,398,398,0
90505,Andover,Andover High,341,0,341
100410,Arlington,Ottoson Middle,1242,1242,47
100505,Arlington,Arlington High,99,0,99
140010,Ashland,Henry E Warren Elementary,615,615,0
140015,Ashland,David Mindess,642,642,0
140405,Ashland,Ashland Middle,3,3,0
140505,Ashland,Ashland High,168,0,168
160001,Attleboro,A. Irvin Studley Elementary School,384,384,0
160035,Attleboro,Thomas Willett Elementary School,409,409,0
160040,Attleboro,Hyman Fine Elementary School,475,475,0
160045,Attleboro,Hill-Roberts Elementary School,460,460,0
160050,Attleboro,Peter Thacher Elementary School,429,429,0
160505,Attleboro,Attleboro High,80,0,80
160515,Attleboro,Attleboro Community Academy,11,0,11
170030,Auburn,Swanson Road Intermediate School,2,2,0
170305,Auburn,Auburn Middle,216,216,0
170505,Auburn,Auburn Senior High,192,0,192
180010,Avon,Ralph D Butler,230,230,0
180510,Avon,Avon Middle High School,109,64,45
200005,Barnstable,West Barnstable Elementary,1,1,0
200010,Barnstable,Centerville Elementary,3,3,0
200025,Barnstable,Hyannis West Elementary,5,5,0
200045,Barnstable,West Villages Elementary School,5,5,0
200050,Barnstable,Barnstable United Elementary School,1,1,0
200315,Barnstable,Barnstable Intermediate School,637,637,0
200505,Barnstable,Barnstable High,36,2,36
230010,Bedford,Lt Elezer Davis,1,1,0
230305,Bedford,John Glenn Middle,2,2,0
230505,Bedford,Bedford High,118,0,118
240025,Belchertown,Jabish Middle School,365,365,0
240505,Belchertown,Belchertown High,185,0,185
250020,Bellingham,Joseph F DiPietro Elementary School,2,2,0
250025,Bellingham,Stall Brook,1,1,0
250315,Bellingham,Bellingham Memorial School,355,355,0
250505,Bellingham,Bellingham High School,320,177,143
260005,Belmont,Winn Brook,1,1,0
260305,Belmont,Winthrop L Chenery Middle,2,2,0
260505,Belmont,Belmont High,139,0,139
270010,Berkley,Berkley Community School,217,217,0
270305,Berkley,Berkley Middle School,381,381,0
280005,Berlin,Berlin Memorial,82,82,0
300015,Beverly,Cove Elementary,3,3,0
300033,Beverly,Hannah Elementary,1,1,0
300040,Beverly,North Beverly Elementary,1,1,0
300305,Beverly,Beverly Middle School,964,964,0
300505,Beverly,Beverly High,109,0,109
310005,Billerica,Thomas Ditson,522,522,0
310007,Billerica,Frederick J Dutile,273,273,0
310012,Billerica,John F Kennedy,311,311,0
310015,Billerica,Parker,486,486,0
310026,Billerica,Hajjar Elementary,455,455,0
310030,Billerica,Eugene C Vining,191,191,0
310305,Billerica,Marshall Middle School,427,427,0
310310,Billerica,Locke Middle,332,332,0
310505,Billerica,Billerica Memorial High School,172,0,172
350004,Boston,Lyon K-8,115,115,0
350009,Boston,East Boston Early Childhood Center,1,1,0
350013,Boston,Jackson Mann,418,417,1
350021,Boston,Beethoven,283,283,0
350052,Boston,Charles Sumner,503,503,0
350062,Boston,Curtis Guild,1,1,0
350072,Boston,David A Ellis,378,378,0
350074,Boston,Dearborn,155,149,6
350077,Boston,Dennis C Haley,1,0,1
350080,Boston,Donald Mckay,388,387,1
350096,Boston,Eliot Elementary,493,493,0
350116,Boston,Franklin D Roosevelt,43,43,0
350122,Boston,George H Conley,89,89,0
350135,Boston,Henry Grew,238,238,0
350141,Boston,Hugh Roe O'Donnell,243,243,0
350146,Boston,Condon K-8,5,5,0
350153,Boston,James W Hennigan,326,324,2
350156,Boston,James Otis,338,338,0
350167,Boston,UP Academy Holland,4,4,0
350172,Boston,John D Philbrick,129,129,0
350179,Boston,John W McCormack,17,15,2
350183,Boston,Joseph Lee,41,41,0
350190,Boston,Joyce Kilmer,1,0,1
350200,Boston,Harvard-Kent,419,419,0
350215,Boston,Manassah E Bradley,252,252,0
350227,Boston,Mather,541,541,0
350229,Boston,Maurice J Tobin,257,257,0
350231,Boston,Michael J Perkins,210,210,0
350237,Boston,Mozart,24,24,0
350240,Boston,Richard J Murphy,508,508,0
350243,Boston,Nathan Hale,136,136,0
350255,Boston,Oliver Hazard Perry,172,172,0
350258,Boston,William H Ohrenberger,658,657,1
350262,Boston,Lyndon,215,215,0
350268,Boston,Paul A Dever,291,291,0
350278,Boston,Phineas Bates,37,37,0
350286,Boston,Josiah Quincy,677,677,0
350302,Boston,Samuel Adams,242,242,0
350304,Boston,Samuel W Mason,40,40,0
350308,Boston,Sarah Greenwood,420,420,0
350346,Boston,Warren-Prescott,112,112,0
350360,Boston,William Ellery Channing,183,183,0
350363,Boston,William McKinley,58,58,0
350370,Boston,William Monroe Trotter,462,462,0
350374,Boston,Winship Elementary,160,160,0
350376,Boston,King K-8,261,260,1
350377,Boston,Higginson/Lewis K-8,1,0,1
350378,Boston,Mildred Avenue K-8,2,0,2
350380,Boston,Young Achievers,192,192,0
350382,Boston,Mission Hill School,2,2,0
350383,Boston,Lilla G. Frederick Middle School,2,0,2
350390,Boston,Blackstone,418,418,0
350426,Boston,Dr. William Henderson Upper,469,404,100
350430,Boston,Clarence R Edwards Middle,126,126,0
350445,Boston,Washington Irving Middle,333,333,0
350485,Boston,James P Timilty Middle,1,0,1
350505,Boston,Brighton High,116,1,115
350507,Boston,Boston International High School,215,84,156
350515,Boston,Charlestown High,25,1,25
350518,Boston,Community Academy,14,14,0
350522,Boston,Excel High School,117,93,28
350525,Boston,Jeremiah E Burke High,33,1,32
350530,Boston,East Boston High,317,244,102
350535,Boston,The English High,54,50,4
350537,Boston,Madison Park High,13,0,13
350540,Boston,Fenway High School,62,0,62
350541,Boston,Another Course To College,27,0,27
350542,Boston,New Mission High School,87,0,87
350543,Boston,Greater Egleston Community High School,2,0,2
350545,Boston,Boston Latin Academy,135,88,53
350548,Boston,Boston Adult Academy,58,0,58
350549,Boston,Margarita Muniz Academy,71,0,71
350558,Boston,Boston Community Leadership Academy,48,0,48
350560,Boston,Boston Latin,122,61,61
350565,Boston,Quincy Upper School,1,1,0
350575,Boston,O'Bryant School Math/Science,262,81,182
350579,Boston,Urban Science Academy,91,0,91
350581,Boston,Community Academy of Science and Health,41,36,5
350655,Boston,Lyon Upper 9-12,20,0,20
350656,Boston,Mario Umana Academy,2,0,2
350657,Boston,TechBoston Academy,308,106,229
350658,Boston,West Roxbury Academy,106,48,59
350750,Boston,Horace Mann School for the Deaf,27,20,8
350755,Boston,Boston Collaborative High School,19,4,15
360005,Bourne,Bournedale Elementary School,308,308,0
360010,Bourne,Peebles Elementary School,341,341,0
360325,Bourne,Bourne Middle School,490,490,0
360505,Bourne,Bourne High School,1,0,1
390005,Boylston,Boylston Elementary,263,263,0
400020,Braintree,Mary E Flaherty School,1,1,0
400050,Braintree,Donald Ross,1,1,0
400305,Braintree,East Middle School,210,210,0
400310,Braintree,South Middle School,205,205,0
400505,Braintree,Braintree High,49,0,49
410005,Brewster,Stony Brook Elementary,202,202,0
410010,Brewster,Eddy Elementary,241,241,0
430005,Brimfield,Brimfield Elementary,1,1,0
440001,Brockton,Dr W Arnone Community School,1,1,0
440023,Brockton,Edgar B Davis,4,4,0
440080,Brockton,Frederick Douglass Academy,5,0,5
440110,Brockton,Downey,1,1,0
440400,Brockton,Huntington Therapeutic Day School,24,0,24
440405,Brockton,East Middle School,6,6,0
440410,Brockton,North Middle School,8,8,0
440420,Brockton,West Middle School,12,12,0
440421,Brockton,Ashfield Middle School,8,8,0
440422,Brockton,Joseph F. Plouffe Academy,225,225,0
440505,Brockton,Brockton High,1411,0,1411
440515,Brockton,Brockton Champion High School,5,0,5
440520,Brockton,Edison Academy,16,0,16
460020,Brookline,Michael Driscoll,71,71,0
460035,Brookline,William H Lincoln,58,58,0
460045,Brookline,John D Runkle,64,64,0
460505,Brookline,Brookline High,158,0,158
480303,Burlington,Marshall Simonds Middle,719,719,0
480505,Burlington,Burlington High,135,0,135
490506,Cambridge,Cambridge Rindge and Latin,153,0,153
500012,Canton,Lt Peter M Hansen,1,1,0
500020,Canton,Dean S Luce,2,2,0
500305,Canton,Wm H Galvin Middle,444,444,0
500505,Canton,Canton High,29,0,29
510025,Carlisle,Carlisle School,1,1,0
520015,Carver,Carver Elementary School,6,6,0
520405,Carver,Carver Middle/High School,2,1,1
560025,Chelmsford,Charles D Harrington,2,2,0
560030,Chelmsford,Byam School,1,1,0
560305,Chelmsford,Col Moses Parker School,343,343,0
560310,Chelmsford,McCarthy Middle School,370,370,0
560505,Chelmsford,Chelmsford High,116,0,116
570003,Chelsea,Shurtleff Early Childhood,11,11,0
570025,Chelsea,William A Berkowitz Elementary,11,11,0
570030,Chelsea,Edgar A Hooks Elementary,9,9,0
570035,Chelsea,George F. Kelly Elementary,6,6,0
570040,Chelsea,Frank M Sokolowski Elementary,5,5,0
570045,Chelsea,Eugene Wright Science and Technology Academy,468,468,0
570050,Chelsea,Clark Avenue School,495,495,0
570055,Chelsea,Joseph A. Browne School,541,541,0
570505,Chelsea,Chelsea High,309,0,309
610003,Chicopee,Barry,411,411,0
610010,Chicopee,Belcher,262,262,0
610015,Chicopee,Bowe,453,453,0
610020,Chicopee,Bowie,4,4,0
610021,Chicopee,Chicopee Academy,3,3,0
610022,Chicopee,Litwin,416,416,0
610040,Chicopee,Lambert-Lavoie,2,2,0
610050,Chicopee,Fairview Elementary,2,2,0
610065,Chicopee,Streiber Memorial School,276,276,0
610090,Chicopee,Gen John J Stefanik,405,405,0
610305,Chicopee,Bellamy Middle,303,303,0
610310,Chicopee,Dupont Middle,370,370,0
610505,Chicopee,Chicopee High,96,0,96
610510,Chicopee,Chicopee Comprehensive High School,156,0,156
640050,Clinton,Clinton Elementary,438,438,0
640305,Clinton,Clinton Middle School,257,257,0
640505,Clinton,Clinton Senior High,62,0,62
650005,Cohasset,Deer Hill,1,1,0
650010,Cohasset,Joseph Osgood,323,323,0
650505,Cohasset,Cohasset Middle/High School,113,0,113
670305,Concord,Concord Middle,351,351,0
680005,Conway,Conway Grammar,123,123,0
710010,Danvers,Highlands,2,2,0
710032,Danvers,Ivan G Smith,2,2,0
710305,Danvers,Holten Richmond Middle School,555,555,0
710505,Danvers,Danvers High,299,2,297
720015,Dartmouth,Joseph Demello,1,1,0
720030,Dartmouth,George H Potter,4,4,0
720040,Dartmouth,James M. Quinn School,2,2,0
720050,Dartmouth,Dartmouth Middle,867,867,0
720505,Dartmouth,Dartmouth High,69,0,69
730005,Dedham,Early Childhood Center,1,1,0
730010,Dedham,Avery,3,3,0
730025,Dedham,Greenlodge,1,1,0
730030,Dedham,Oakdale,2,2,0
730305,Dedham,Dedham Middle School,232,232,0
730505,Dedham,Dedham High,70,0,70
740015,Deerfield,Deerfield Elementary,341,341,0
770305,Douglas,Douglas Middle School,1,0,1
770505,Douglas,Douglas High School,58,0,58
780005,Dover,Chickering,473,473,0
790020,Dracut,Joseph A Campbell Elementary,2,2,0
790035,Dracut,Brookside Elementary,1,1,0
790045,Dracut,George H. Englesby Elementary School,2,2,0
790410,Dracut,Justus C. Richardson Middle School,299,299,0
790505,Dracut,Dracut Senior High,256,0,256
820006,Duxbury,Chandler Elementary,1,1,0
820505,Duxbury,Duxbury High,30,0,30
830005,East Bridgewater,Central,472,472,0
830010,East Bridgewater,Gordon W. Mitchell School,662,662,0
830505,East Bridgewater,East Bridgewater JR./SR. High School,96,1,95
850005,Eastham,Eastham Elementary,166,166,0
860005,Easthampton,Center School,2,2,0
860020,Easthampton,Neil A Pepin,3,3,0
860505,Easthampton,Easthampton High,110,0,110
870305,East Longmeadow,Birchland Park,50,50,0
870505,East Longmeadow,East Longmeadow High,119,0,119
880405,Easton,Easton Middle School,670,670,0
880505,Easton,Oliver Ames High,37,0,37
890005,Edgartown,Edgartown Elementary,350,350,0
910030,Erving,Erving Elementary,143,143,0
930010,Everett,Sumner G. Whittier School,648,648,0
930015,Everett,Webster School,4,4,0
930018,Everett,Madeline English School,830,830,0
930028,Everett,George Keverian School,874,874,0
930030,Everett,Devens School,2,2,0
930038,Everett,Lafayette School,933,933,0
930058,Everett,Parlin School,837,837,0
930505,Everett,Everett High,58,0,58
940010,Fairhaven,East Fairhaven,2,2,0
940030,Fairhaven,Leroy Wood,476,476,0
940305,Fairhaven,Hastings Middle,306,306,0
940505,Fairhaven,Fairhaven High,40,0,40
950005,Fall River,North End Elementary,5,5,0
950009,Fall River,Carlton M. Viveiros Elementary School,4,4,0
950011,Fall River,Mary Fonseca Elementary School,1,1,0
950013,Fall River,Letourneau Elementary School,4,4,0
950017,Fall River,Henry Lord Community School,1,1,0
950045,Fall River,John J Doran,4,4,0
950065,Fall River,William S Greene,4,4,0
950130,Fall River,Spencer Borden,3,3,0
950140,Fall River,James Tansey,1,1,0
950145,Fall River,Samuel Watson,2,2,0
950305,Fall River,Talbot Innovation School,4,4,0
950315,Fall River,Morton Middle,8,8,0
950320,Fall River,Matthew J Kuss Middle,499,499,0
950505,Fall River,B M C Durfee High,60,0,60
960005,Falmouth,East Falmouth Elementary,258,258,0
960015,Falmouth,Teaticket,261,261,0
960020,Falmouth,Mullen-Hall,436,436,0
960030,Falmouth,North Falmouth Elementary,323,323,0
960305,Falmouth,Morse Pond School,550,550,0
960405,Falmouth,Lawrence,308,308,0
960505,Falmouth,Falmouth High,126,0,126
970048,Fitchburg,Memorial Middle School,531,531,0
970315,Fitchburg,Arthur M Longsjo Middle School,481,481,0
970505,Fitchburg,Fitchburg High,201,0,201
990020,Foxborough,Vincent M Igo Elementary,1,1,0
990050,Foxborough,Charles Taylor Elementary,1,1,0
990405,Foxborough,John J Ahern,473,473,0
990505,Foxborough,Foxborough High,60,0,60
1000005,Framingham,King Elementary School,15,15,0
1000015,Framingham,Hemenway,15,15,0
1000039,Framingham,Potter Road,1,1,0
1000302,Framingham,Cameron Middle School,7,7,0
1000305,Framingham,Fuller Middle,3,3,0
1000310,Framingham,Walsh Middle,3,3,0
1000515,Framingham,Framingham High School,241,0,241
1010040,Franklin,Annie Sullivan Middle School,438,438,0
1010310,Franklin,Remington Middle,445,445,0
1010405,Franklin,Horace Mann,463,463,0
1010505,Franklin,Franklin High,147,0,147
1030001,Gardner,Elm Street School,6,6,0
1030020,Gardner,Waterford Street,3,3,0
1030405,Gardner,Gardner Middle School,517,517,0
1030505,Gardner,Gardner High,3,0,3
1050010,Georgetown,Penn Brook,472,472,0
1050305,Georgetown,Georgetown Middle School,187,187,0
1050505,Georgetown,Georgetown High School,103,0,103
1070045,Gloucester,Veterans Memorial,3,3,0
1070050,Gloucester,West Parish,2,2,0
1070305,Gloucester,Ralph B O'Maley Middle,1,1,0
1070505,Gloucester,Gloucester High,206,0,206
1090005,Gosnold,Cuttyhunk Elementary,2,2,0
1100030,Grafton,North Street Elementary School,580,580,0
1100200,Grafton,Millbury Street Elementary School,659,659,0
1100305,Grafton,Grafton Middle,516,516,0
1100505,Grafton,Grafton High School,91,0,91
1110004,Granby,East Meadow,149,149,0
1110010,Granby,West Street,181,181,0
1110505,Granby,Granby Jr Sr High School,151,111,42
1140010,Greenfield,Federal Street School,248,248,0
1140025,Greenfield,Discovery School at Four Corners,247,247,0
1140035,Greenfield,Newton School,4,4,0
1140305,Greenfield,Greenfield Middle,373,373,0
1170015,Hadley,Hadley Elementary,4,4,0
1170505,Hadley,Hopkins Academy,60,45,15
1180005,Halifax,Halifax Elementary,260,260,0
1210005,Hancock,Hancock Elementary,30,30,0
1220004,Hanover,Cedar Elementary,348,348,0
1220005,Hanover,Center Elementary,335,335,0
1220015,Hanover,Sylvester,228,228,0
1220305,Hanover,Hanover Middle,831,831,0
1220505,Hanover,Hanover High,61,0,61
1250005,Harvard,Hildreth Elementary School,429,429,0
1250505,Harvard,Bromfield,29,19,10
1270005,Hatfield,Hatfield Elementary,217,217,0
1270505,Hatfield,Smith Academy,26,26,0
1280008,Haverhill,Bradford Elementary,1,1,0
1280020,Haverhill,Crowell,1,1,0
1280026,Haverhill,Golden Hill,5,5,0
1280033,Haverhill,Haverhill Alternative School,10,0,10
1280054,Haverhill,Pentucket Lake Elementary,2,2,0
1280073,Haverhill,TEACH,13,0,13
1280075,Haverhill,Tilton,3,3,0
1280100,Haverhill,Consentino Middle School,3,3,0
1280505,Haverhill,Haverhill High,563,0,563
1310410,Hingham,Hingham Middle School,338,338,0
1310505,Hingham,Hingham High,77,0,77
1330018,Holbrook,John F Kennedy,579,579,0
1330505,Holbrook,Holbrook Middle High School,261,260,1
1360007,Holliston,Miller School,678,678,0
1360305,Holliston,Robert H. Adams Middle School,1,1,0
1360505,Holliston,Holliston High,53,0,53
1370015,Holyoke,Lt Elmer J McMahon Elementary,390,390,0
1370030,Holyoke,William R. Peck School,3,3,0
1370040,Holyoke,Kelly Elementary,82,82,0
1370045,Holyoke,E N White Elementary,5,5,0
1370055,Holyoke,Lt Clayre Sullivan Elementary,377,377,0
1370060,Holyoke,Maurice A Donahue Elementary,383,383,0
1370505,Holyoke,Holyoke High,459,0,459
1370605,Holyoke,Wm J Dean Vocational Technical High,1,0,1
1380505,Hopedale,Hopedale Jr Sr High,102,97,5
1390015,Hopkinton,Hopkins Elementary School,549,549,0
1390305,Hopkinton,Hopkinton Middle School,488,488,0
1390505,Hopkinton,Hopkinton High,102,0,102
1410007,Hudson,Mulready Elementary,228,228,0
1410015,Hudson,Forest Avenue Elementary,357,357,0
1410030,Hudson,C A Farley,440,440,0
1410410,Hudson,David J. Quinn Middle School,2,2,0
1410505,Hudson,Hudson High,288,175,122
1420015,Hull,Lillian M Jacobs,362,362,0
1420305,Hull,Memorial Middle,2,2,0
1420505,Hull,Hull High,2,0,2
1440305,Ipswich,Ipswich Middle School,1,1,0
1440505,Ipswich,Ipswich High,37,0,37
1450005,Kingston,Kingston Elementary,1,1,0
1450020,Kingston,Kingston Intermediate,570,570,0
1480005,Lanesborough,Lanesborough Elementary,211,211,0
1490003,Lawrence,John Breen School,1,1,0
1490004,Lawrence,South Lawrence East Elementary School,4,4,0
1490009,Lawrence,Community Day Arlington,2,2,0
1490017,Lawrence,Arlington Middle School,1,1,0
1490018,Lawrence,Robert Frost,489,489,0
1490020,Lawrence,James F Hennessey,1,1,0
1490022,Lawrence,Gerard A. Guilmette,1,1,0
1490025,Lawrence,Guilmette Middle School,3,3,0
1490027,Lawrence,Parthum Middle School,3,3,0
1490040,Lawrence,Francis M Leahy,1,1,0
1490048,Lawrence,Oliver Partnership School,4,4,0
1490075,Lawrence,John K Tarbox,1,1,0
1490080,Lawrence,Emily G Wetherbee,3,3,0
1490085,Lawrence,Spark Academy,3,3,0
1490515,Lawrence,Lawrence High School,165,0,165
1490525,Lawrence,Frost Middle School,3,3,0
1490537,Lawrence,School for Exceptional Studies,31,0,31
1500505,Lee,Lee Middle/High School,110,103,7
1510505,Leicester,Leicester High,135,0,135
1520015,Lenox,Morris,252,252,0
1520505,Lenox,Lenox Memorial High,154,131,23
1530007,Leominster,Fall Brook,1,1,0
1530030,Leominster,Northwest,4,4,0
1530045,Leominster,Samoset School,3,3,0
1530320,Leominster,Sky View Middle School,5,5,0
1530505,Leominster,Leominster High School,113,0,113
1530605,Leominster,Center For Technical Education Innovation,76,0,76
1540005,Leverett,Leverett Elementary,112,112,0
1550305,Lexington,Jonas Clarke Middle,338,337,1
1550310,Lexington,Wm Diamond Middle,286,286,0
1550505,Lexington,Lexington High,393,0,393
1570025,Lincoln,Lincoln School,385,385,0
1570305,Lincoln,Hanscom Middle,244,244,0
1580305,Littleton,Littleton Middle School,358,358,0
1580505,Littleton,Littleton High School,62,0,62
1590005,Longmeadow,Blueberry Hill,433,433,0
1590010,Longmeadow,Center,410,410,0
1590017,Longmeadow,Glenbrook Middle,327,327,0
1590025,Longmeadow,Wolf Swamp Road,348,348,0
1590305,Longmeadow,Williams Middle,329,329,0
1590505,Longmeadow,Longmeadow High,51,0,51
1600018,Lowell,Pyne Arts,471,471,0
1600085,Lowell,Laura Lee Therapeutic Day School,4,4,0
1600090,Lowell,Bartlett Community Partnership,455,455,0
1600310,Lowell,B.F. Butler Middle School,1,1,0
1600315,Lowell,James S Daley Middle School,630,630,0
1600320,Lowell,Leblanc Therapeutic Day School,1,1,0
1600330,Lowell,Henry J Robinson Middle,612,612,0
1600340,Lowell,James Sullivan Middle School,631,631,0
1600345,Lowell,Dr An Wang School,3,3,0
1600360,Lowell,Kathryn P. Stoklosa Middle School,5,5,0
1600505,Lowell,Lowell High,223,0,223
1600515,Lowell,The Career Academy,10,0,10
1610020,Ludlow,Chapin Street Elementary School,1,1,0
1610023,Ludlow,Veterans Park Elementary,225,225,0
1610305,Ludlow,Paul R Baird Middle,267,267,0
1610505,Ludlow,Ludlow Senior High,76,0,76
1620025,Lunenburg,Turkey Hill Elementary School,3,3,0
1620305,Lunenburg,Lunenburg Middle School,148,148,0
1630004,Lynn,Early Childhood Center,1,1,0
1630005,Lynn,Washington Elementary School,1,1,0
1630016,Lynn,A Drewicz Elementary,1,1,0
1630020,Lynn,Brickett Elementary,3,3,0
1630030,Lynn,Julia F Callahan,2,2,0
1630035,Lynn,Cobbet Elementary,6,6,0
1630040,Lynn,Wm P Connery,5,5,0
